section,runtime_id,ar,en,ur,tr,ug
tpl,t1sji9t2,احفظ أسرار من تحب، وثق أن تدبير الله خير,"Keep the secrets of those you love, and trust that Allah's plan is best",اپنے پیاروں کے راز رکھو، اور یقین رکھو کہ اللہ کی تدبیر بہتر ہے,Sevdiklerinin sırlarını sakla ve Allah'ın takdirinin en hayırlısı olduğuna güven,سۆيگەنلىرىڭىزنىڭ سىرلىرىنى ساقلاڭ، ئاللاھنىڭ تەدبىرى ئەڭ ياخشى ئىكەنلىكىگە ئىشىنىڭ
tpl,taipnt8,ادعُ الله دائمًا، فهو يستجيب لعباده المخلصين,"Always call upon Allah, for He answers His sincere servants",ہمیشہ اللہ کو پکارو، وہ اپنے مخلص بندوں کی سنتا ہے,"Her zaman Allah'a dua et, çünkü O samimi kullarına icabet eder",ھەمىشە ئاللاھقا دۇئا قىلىڭ، ئۇ سادىق بەندىلىرىگە ئىجابەت قىلىدۇ
tpl,t1437wcc,اسأل الله أن يهديك لنوره ويثبتك عليه,Ask Allah to guide you to His light and keep you firm upon it,اللہ سے دعا کرو کہ وہ تمہیں اپنے نور کی ہدایت دے اور اس پر ثابت قدم رکھے,Allah'tan seni nuruna hidayet etmesini ve onun üzerinde sabit kılmasını dile,ئاللاھتىن سىزنى نۇرىغا يېتەكلىشىنى ۋە ئۇنىڭدا چىڭ تۇرغۇزۇشىنى تىلەڭ
tpl,t2ve3t1,استعد ليوم القيامة بالعمل الصالح,Prepare for the Day of Judgment with righteous deeds,قیامت کے دن کے لیے نیک اعمال سے تیاری کرو,Kıyamet günü için salih amellerle hazırlan,قىيامەت كۈنى ئۈچۈن ياخشى ئەمەللەر بىلەن تەييارلىنىڭ
tpl,tp21kzh,اسعَ إلى ربك سعيًا، فإنك ملاقيه لا محالة,"Strive toward your Lord diligently, for you will surely meet Him",اپنے رب کی طرف کوشش کرو، بےشک تم اس سے ملنے والے ہو,"Rabbine doğru gayretle çalış, çünkü O'na mutlaka kavuşacaksın",پەرۋەردىگارىڭىزغا قاراپ تىرىشىڭ، چۈنكى سىز چوقۇم ئۇنىڭ بىلەن كۆرۈشىسىز
tpl,tzwy07b,اشكر الله يزدك من فضله,Thank Allah and He will increase you from His bounty,اللہ کا شکر ادا کرو، وہ اپنے فضل سے تمہیں اور دے گا,"Allah'a şükret, O lütfundan sana daha fazla verir",ئاللاھقا شۈكۈر قىلىڭ، ئۇ مەرھەمىتىدىن سىزگە يەنە زىيادە قىلىدۇ
tpl,t5knofc,الصبر على البلاء يفتح أبواب الفرج,Patience through hardship opens the doors of relief,مصیبت پر صبر فرج کے دروازے کھولتا ہے,Belaya sabretmek kurtuluş kapılarını açar,بالايىئاپەتكە سەۋر قىلىش نىجاتلىق ئىشىكلىرىنى ئاچىدۇ
tpl,t1fzt4yf,العدل والإحسان خُلُقُ المسلم — بارك الله فيك,Justice and kindness are the character of a Muslim — may Allah bless you,عدل اور احسان مسلمان کا خلق ہے — اللہ تمہیں برکت دے,Adalet ve iyilik Müslümanın ahlakıdır — Allah seni bereketlendirsin,ئادالەت ۋە ياخشىلىق مۇسۇلماننىڭ ئەخلاقى — ئاللاھ سىزنى بەرىكەتلىسۇن
tpl,twq6pqq,العقبة: فكّ رقبة، أو إطعام في يوم ذي مسغبة,"Al-Aqabah: freeing a slave, or feeding on a day of severe hunger",عقبہ: غلام آزاد کرنا، یا فاقہ کے دن کھانا کھلانا,Akabe: köle azat etmek veya kıtlık gününde yedirmek,ئەقەبە: قۇل ئازاد قىلىش ياكى قەھەتچىلىك كۈنىدە ئوزۇقلاندۇرۇش
tpl,t1e30muz,العلم نور والجهل ظلام,Knowledge is light and ignorance is darkness,علم نور ہے اور جہالت اندھیرا,"İlim nurdur, cehalet karanlıktır",بىلىم نۇر، نادانلىق قاراڭغۇلۇق
tpl,tsj1p1c,الله رحيم بعباده,Allah is Merciful to His servants,اللہ اپنے بندوں پر رحیم ہے,Allah kullarına merhametlidir,ئاللاھ بەندىلىرىگە مېھرىباندۇر
tpl,tduoror,الله غفور ودود لمن تاب وآمن وعمل صالحًا,"Allah is Forgiving and Loving to whoever repents, believes, and does good",اللہ توبہ کرنے، ایمان لانے اور نیک عمل کرنے والے کے لیے غفور ودود ہے,"Allah, tövbe eden, iman eden ve salih amel işleyene karşı Gafur ve Vedud'dur",ئاللاھ تەۋبە قىلغان، ئىمان ئېيتقان ۋە ياخشى ئىش قىلغانلارغا مەغپىرەت ۋە مېھىر-مۇھەببەت ئىگىسىدۇر
tpl,t1n8xjo3,الله قادر على كل شيء — بارك الله فيك,Allah is capable of all things — may Allah bless you,اللہ ہر چیز پر قادر ہے — اللہ تمہیں برکت دے,Allah her şeye kadirdir — Allah seni bereketlendirsin,ئاللاھ ھەممە نەرسىگە قادىر — ئاللاھ سىزنى بەرىكەتلىسۇن
tpl,t1idrr3h,الله قوي ينصر الحق — أنت عبقري ممتاز,Allah is Strong and supports the truth — you are brilliant and excellent,اللہ قوی ہے حق کی مدد کرتا ہے — تم بہترین ذہین ہو,"Allah güçlüdür, hakka yardım eder — sen çok başarılısın",ئاللاھ كۈچلۈك، ھەقىقەتكە ياردەم بېرىدۇ — سىز ئىقتىدارلىق ۋە ئەلا
tpl,t1hbefxj,الله يحفظ أولياءه مهما اشتدت المحنة,Allah protects His allies no matter how severe the trial,اللہ اپنے دوستوں کی حفاظت کرتا ہے چاہے آزمائش کتنی ہی سخت ہو,"Allah, sınav ne kadar şiddetli olursa olsun dostlarını korur",سىناق قانچىلىك ئېغىر بولۇشىدىن قەتئىينەزەر، ئاللاھ دوستلىرىنى قوغدايدۇ
tpl,t1daokek,الله يعلم كل شيء ويحفظ كل نفس بملائكته,Allah knows all things and protects every soul with His angels,اللہ ہر چیز جانتا ہے اور اپنے فرشتوں سے ہر نفس کی حفاظت کرتا ہے,Allah her şeyi bilir ve her canı melekleriyle korur,ئاللاھ ھەممىنى بىلىدۇ ۋە پەرىشتىلىرى بىلەن ھەربىر جاننى ساقلايدۇ
tpl,t1rvh7h2,اللهم اجعلنا منهم,"O Allah, make us among them",اے اللہ ہمیں انہی میں سے بنا دے,"Allahım, bizi onlardan eyle",ئى ئاللاھ، بىزنى ئۇلاردىن قىلغىن
tpl,t15i44x4,الوقت هو الحياة — استثمر وقتك في الخير,Time is life — invest your time in good,وقت زندگی ہے — اپنا وقت بھلائی میں لگاؤ,Zaman hayattır — zamanını hayırda kullan,ۋاقىت ھاياتتۇر — ۋاقتىڭىزنى ياخشىلىققا سەرپ قىلىڭ
tpl,t1o03syf,بارك الله في علمك وحفظك,May Allah bless your knowledge and memorization,اللہ تمہارے علم اور حفظ میں برکت دے,Allah ilmini ve ezberini bereketlendirsin,ئاللاھ بىلىمىڭىز ۋە ياتلىشىڭىزنى بەرىكەتلىسۇن
tpl,t4dmq55,بارك الله في مجهودك,May Allah bless your effort,اللہ تمہاری کوشش میں برکت دے,Allah çabanı bereketlendirsin,ئاللاھ تىرىشچانلىقىڭىزنى بەرىكەتلىسۇن
tpl,tavcwno,بعد كل صعوبة فرج قريب,"After every hardship, relief is near",ہر مشکل کے بعد آسانی قریب ہے,Her zorluktan sonra ferahlık yakındır,ھەر بىر قىيىنچىلىقتىن كېيىن كۇتۇلۇش يېقىندۇر
tpl,t1r9bvbs,تعدل ثلث القرآن — أحسنت يا باحث صغير,"Equals a third of the Quran — well done, little researcher",قرآن کے ایک تہائی کے برابر — شاباش چھوٹے محقق,Kur'an'ın üçte birine denktir — aferin küçük araştırmacı,قۇرئاننىڭ ئۈچتىن بىرىگە باراۋەر — ئوبدان، كىچىك تەتقىقاتچى
tpl,t1apqttc,تعلّم كما تعلّم آدم عليه السلام، فالعلم شرف ورفعة,"Learn as Adam learned, for knowledge is honor and elevation",آدم علیہ السلام کی طرح سیکھو، علم عزت اور بلندی ہے,"Adem'in öğrendiği gibi öğren, çünkü ilim şeref ve yücelmedir",ئادەمنىڭ ئۆگەنگىنىدەك ئۆگىنىڭ، چۈنكى بىلىم شەرەپ ۋە يۇقىرى مەرتىۋىدۇر
tpl,tlbd5n3,تفكّر في عظمة الله الذي خلقك وسوّاك فعدلك,"Reflect on the greatness of Allah who created you, shaped you, and proportioned you",اللہ کی عظمت پر غور کرو جس نے تمہیں پیدا کیا، ٹھیک بنایا اور برابر کیا,"Seni yaratan, şekillendiren ve dengeli kılan Allah'ın azametini düşün",سىزنى ياراتقان، شەكىللەندۈرگەن ۋە تەڭشىگەن ئاللاھنىڭ ئۇلۇغلۇقىنى ئويلاڭ
tpl,t1elida9,تقبل الله طاعتك,May Allah accept your obedience,اللہ تمہاری اطاعت قبول فرمائے,Allah itaatini kabul etsin,ئاللاھ ئىتائىتىڭىزنى قوبۇل قىلسۇن
tpl,tx93kza,توكّل على الله كما توكّل الفتية، فهو يهيئ لك الرشد,"Rely on Allah as the youths relied, for He prepares guidance for you",اللہ پر توکل کرو جیسے نوجوانوں نے کیا، وہ تمہارے لیے ہدایت مہیا کرتا ہے,"Gençlerin tevekkül ettiği gibi Allah'a tevekkül et, O sana doğruyu hazırlar",ياشلار تەۋەككۈل قىلغاندەك ئاللاھقا تەۋەككۈل قىلىڭ، ئۇ سىزگە توغرا يولنى تەييارلايدۇ
tpl,t1f36hk6,ثبات على الحق — مجهود عبقري لا مثيل له,"Steadfastness upon the truth — a brilliant, unmatched effort",حق پر ثابت قدمی — بےمثال شاندار کوشش,"Hak üzerinde sebat — eşsiz, mükemmel bir çaba",ھەقىقەتتە چىڭ تۇرۇش — تەڭداشسىز ئالاھىدە تىرىشچانلىق
tpl,twslc6f,ثق بوعد الله، فهو لا يخلف الميعاد,"Trust Allah's promise, for He does not break His word",اللہ کے وعدے پر یقین رکھو، وہ وعدہ خلافی نہیں کرتا,"Allah'ın vaadine güven, çünkü O sözünden dönmez",ئاللاھنىڭ ۋەدىسىگە ئىشىنىڭ، چۈنكى ئۇ ۋەدىسىدىن يانمايدۇ
tpl,t1n8yl8p,ثقي بربك، فما تركك ولا قلاك,"Trust your Lord, for He has not forsaken you nor been displeased with you",اپنے رب پر بھروسہ کرو، اس نے تمہیں نہیں چھوڑا اور نہ ناراض ہوا,"Rabbine güven, seni ne terk etti ne de sana darıldı",پەرۋەردىگارىڭىزغا ئىشىنىڭ، ئۇ سىزنى تاشلىۋەتمىدى ھەم رەنجىمىدى
tpl,t3w940d,حسبي الله ونعم الوكيل,"Allah is sufficient for me, and He is the best Disposer of affairs",اللہ ہی میرے لیے کافی ہے اور وہ بہترین کارساز ہے,"Allah bana yeter, O ne güzel vekildir",ئاللاھ ماڭا يېتەرلىك، ئۇ ئەڭ ياخشى ھامىي
tpl,tqavu8e,حفظك الله من كل سوء — مجهود عبقري وممتاز,"May Allah protect you from all harm — brilliant, excellent effort",اللہ تمہیں ہر برائی سے بچائے — شاندار اور بہترین کوشش,"Allah seni her kötülükten korusun — parlak, mükemmel bir çaba",ئاللاھ سىزنى ھەممە يامانلىقتىن ساقلىسۇن — ئالاھىدە، ئەلا تىرىشچانلىق
tpl,t1ean1wo,خف مقام ربك، وانهَ نفسك عن هواها تفز بالجنة,"Fear standing before your Lord, and restrain your soul from desire, and you will triumph with Paradise",اپنے رب کے سامنے کھڑے ہونے سے ڈرو، اور نفس کو خواہش سے روکو تاکہ جنت پاؤ,"Rabbinin huzurunda durmaktan kork, nefsini hevadan alıkoy ki cennetle kazanasın",پەرۋەردىگارىڭىزنىڭ ئالدىدا تۇرۇشتىن قورقۇڭ، نەپسىڭىزنى ھەۋەستىن توسۇڭ، جەننەت بىلەن غەلىبە قىلىسىز
tpl,t1xhwkw1,ذكر الله يحميك من كل وسواس — ممتاز يا عبقري,"Remembrance of Allah protects you from every whisper of doubt — excellent, genius",اللہ کا ذکر ہر وسوسے سے بچاتا ہے — بہترین، ذہین,"Allah'ı zikretmek seni her vesveseden korur — mükemmel, dahi",ئاللاھنى ياد ئېتىش سىزنى ھەرقانداق ۋەسۋەسىدىن قوغدايدۇ — ئەلا، ئىقتىدارلىق
tpl,t1flip1,سبّح اسم ربك الأعلى، وآثر الآخرة على الدنيا,"Glorify the name of your Most High Lord, and prefer the Hereafter over this world",اپنے رب اعلیٰ کے نام کی تسبیح کرو، اور آخرت کو دنیا پر ترجیح دو,Yüce Rabbinin ismini tesbih et ve ahireti dünyaya tercih et,ئۇلۇغ پەرۋەردىگارىڭىزنىڭ ئىسمىنى تەسبىھ ئېيتىڭ، ئاخىرەتنى دۇنيادىن ئارتۇق كۆرۈڭ
tpl,t1cqqair,صنع الله الذي أتقن كل شيء,"The work of Allah, who perfected all things",اللہ کی صنعت جس نے ہر چیز مکمل بنائی,Her şeyi mükemmel yapan Allah'ın sanatı,ھەممىنى مۇكەممەل قىلغان ئاللاھنىڭ ئىجادىيىتى
tpl,th8yyuq,طهارة النفس هي طريق الفلاح,Purity of the soul is the path to success,نفس کی پاکیزگی کامیابی کا راستہ ہے,Nefsin arınması kurtuluşun yoludur,نەپسىنىڭ پاكلىقى مۇۋەپپەقىيەتنىڭ يولى
tpl,te0n0sc,كم من فئة قليلة غلبت فئة كثيرة بإذن الله,How many a small group has overcome a large group by Allah's permission,کتنی چھوٹی جماعت نے اللہ کے حکم سے بڑی جماعت کو شکست دی,Nice küçük topluluk Allah'ın izniyle büyük bir topluluğu yenmiştir,نۇرغۇن كىچىك توپلار ئاللاھنىڭ ئىزنى بىلەن چوڭ توپلارنى يېڭىۋالغان
tpl,t1v5d9cj,كن من النفس المطمئنة الراضية بقضاء الله,"Be among the tranquil souls, content with Allah's decree",اللہ کی تقدیر پر راضی، مطمئن نفس والوں میں سے ہو جاؤ,"Allah'ın takdirine razı, mutmain nefislerden ol",ئاللاھنىڭ ھۆكمىگە رازى بولغان تىنچ نەپسىلەردىن بولۇڭ
tpl,t1h6dnk7,لا تجعل الدنيا تلهيك عن ذكر الله,Do not let this world distract you from the remembrance of Allah,دنیا کو اللہ کے ذکر سے غافل نہ ہونے دو,Dünyanın seni Allah'ı zikretmekten alıkoymasına izin verme,دۇنيانى ئاللاھنى ياد ئېتىشتىن چەتنىتىۋەتمەڭ
tpl,tub1fh,لا تُعرض عمّن يطلب الهدى، ولو بدا لك فقيرًا أو ضعيفًا,"Do not turn away from one who seeks guidance, even if he appears poor or weak to you",ہدایت طلب کرنے والے سے منہ نہ موڑو خواہ وہ فقیر یا کمزور نظر آئے,"Hidayet arayan kimseden yüz çevirme, sana fakir veya zayıf görünse bile",ھىدايەت ئىزدىگۈچىدىن يۈز ئۆرۈمەڭ، گەرچە ئۇ سىزگە كەمبەغەل ياكى ئاجىز كۆرۈنسىمۇ
tpl,t1vzutwd,مع العسر يسرًا، فلا تيأس عند الشدائد,"With hardship comes ease, so do not despair in adversity",مشکل کے ساتھ آسانی ہے، مشکلات میں مایوس نہ ہو,"Zorlukla beraber kolaylık vardır, o yüzden zorluklarda ümitsizliğe düşme",قىيىنچىلىق بىلەن بىللە ئاسانلىق بار، شۇڭا قىيىنچىلىقتا ئۈمىدسىزلەنمەڭ
tpl,tqj7jbk,نبدأ بها كل عمل,We begin every deed with it,ہم ہر کام اس سے شروع کرتے ہیں,Her işe onunla başlarız,بىز ھەربىر ئىشنى ئۇنىڭ بىلەن باشلايمىز
tpl,t1yq6c08,وفقك الله لما يحب ويرضى,May Allah grant you success in what He loves and is pleased with,اللہ تمہیں اس کی توفیق دے جو وہ پسند اور راضی ہو,Allah seni sevdiği ve razı olduğu şeye muvaffak kılsın,ئاللاھ سىزنى ياخشى كۆرگەن ۋە رازى بولغان ئىشقا مۇۋەپپەق قىلسۇن
tpl,tfoh4sh,السورة رقم {} في المصحف,Surah number {} in the Mushaf,مصحف میں سورت نمبر {},Mushaf'ta sure numarası {},مۇسھەپتىكى {}-سۈرە
tpl,t1sfyrzz,عدد آياتها {},It has {} ayahs,اس میں {} آیات ہیں,{} ayeti vardır,{} ئايىتى بار
tpl,t1esscpt,الآية {},Ayah {},آیت {},Ayet {},{}-ئايەت
tpl,t1mb50eb,من سورة {},from Surah {},سورۃ {} سے,{} Suresi'nden,{} سۈرىسىدىن
tpl,tiqlc2v,كلمات تنتهي بحرف (د) =,Words ending with the letter (د) =,حرف (د) پر ختم ہونے والے الفاظ =,(د) harfiyle biten kelimeler =,(د) ھەرپى بىلەن ئاياغلاشقان سۆزلەر =
tpl,t1764p7t,(ما): اسم أم حرف؟,(ما): a noun or a letter?,(ما): اسم ہے یا حرف؟,(ما): isim mi harf mi?,(ما): ئىسىممۇ ياكى ھەرپمۇ؟
tpl,ta0g8or,استخرج كلمة تبدأ بـ (و) القسم,Find a word starting with the (و) of oath,قسم والا حرف (و) سے شروع ہونے والا لفظ تلاش کریں,Yemin (و)'siyle başlayan bir kelime bul,قەسەم (و) ى بىلەن باشلانغان سۆزنى تېپىڭ
tpl,t183q263,كلمة من ٣ حروف,A word of 3 letters,٣ حروف والا لفظ,3 harfli bir kelime,3 ھەرپلىك سۆز
tpl,t1shkaos,كلمة تبدأ بـ (إذ),A word starting with (إذ),(إذ) سے شروع ہونے والا لفظ,(إذ) ile başlayan bir kelime,(إذ) بىلەن باشلانغان سۆز
tpl,t1nsue42,كلمة بها (شدة) في وسطها,A word with a (shaddah) in its middle,بیچ میں (شدہ) والا لفظ,Ortasında (şedde) bulunan bir kelime,ئوتتۇرىسىدا (شەددە) بار سۆز
tpl,t1omqinn,من هو رسول الله في السورة؟,Who is the messenger of Allah in this surah?,اس سورت میں اللہ کا رسول کون ہے؟,Bu surede Allah'ın elçisi kimdir?,بۇ سۈرىدە اﷲنىڭ ئەلچىسى كىم؟
tpl,tn8peaa,أكمل: والليل إذا ___,Complete: والليل إذا ___,مکمل کریں: والليل إذا ___,Tamamla: والليل إذا ___,تولۇقلاڭ: والليل إذا ___
tpl,t4er8g5,كم (واو) قَسَم في السورة؟,How many (waws) of oath are in the surah?,سورت میں قسم کے کتنے (واو) ہیں؟,Surede kaç tane yemin (و)'i var?,سۈرىدە قانچە قەسەم (واو) ى بار؟
tpl,t148qkot,كلمة من ٥ حروف,A word of 5 letters,٥ حروف والا لفظ,5 harfli bir kelime,5 ھەرپلىك سۆز
tpl,t8yhkdf,ضد كلمة (أسفل),Opposite of the word (أسفل),لفظ (أسفل) کی ضد,(أسفل) kelimesinin zıttı,(أسفل) سۆزىنىڭ زىددى
tpl,t1onasdn,من هم الناجون من النار؟,Who are those saved from the Fire?,دوزخ سے نجات پانے والے کون ہیں؟,Ateşten kurtulanlar kimlerdir?,دوزاختىن قۇتۇلغانلار كىملەر؟
tpl,tlmlfvg,ما هي ثمرة الزيتون؟,What is the fruit of the olive?,زیتون کا پھل کیا ہے؟,Zeytinin meyvesi nedir?,زەيتۇننىڭ مېۋىسى نېمە؟
tpl,t1cbihej,كلمة بها ( 4 ) حروف =,A word with (4) letters =,( 4 ) حروف والا لفظ =,(4) harfli bir kelime =,(4) ھەرپلىك سۆز =
tpl,t1q3n5rr,أكمل: ر سـ و ل كـ ر يـ ___,Complete: ر سـ و ل كـ ر يـ ___,مکمل کریں: ر سـ و ل كـ ر يـ ___,Tamamla: ر سـ و ل كـ ر يـ ___,تولۇقلاڭ: ر سـ و ل كـ ر يـ ___
tpl,t49kxf,من هو الرسول الكريم المقصود؟,Who is the noble messenger being referred to?,یہاں کون سا معزز رسول مراد ہے؟,Kastedilen değerli elçi kimdir?,بۇ يەردە كۆزدە تۇتۇلغان ھۆرمەتلىك ئەلچى كىم؟
tpl,txsm5c5,معنى «عاملة ناصبة»,Meaning of «عاملة ناصبة»,«عاملة ناصبة» کا مطلب,«عاملة ناصبة» ifadesinin anlamı,«عاملة ناصبة» نىڭ مەنىسى
tpl,t1y2c10q,ضد كلمة «خاشعة»,Opposite of the word «خاشعة»,لفظ «خاشعة» کی ضد,«خاشعة» kelimesinin zıttı,«خاشعة» سۆزىنىڭ زىددى
tpl,t14ft1au,كم آية لوصف أهل النار؟,How many ayahs describe the people of the Fire?,دوزخ والوں کی صفت کے لیے کتنی آیات ہیں؟,Ateş ehlini anlatan kaç ayet var?,دوزاخ ئەھلىنى بايان قىلىدىغان قانچە ئايەت بار؟
tpl,tx1fa18,ما معنى «لا تسمع فيها لاغية»؟,What does «لا تسمع فيها لاغية» mean?,«لا تسمع فيها لاغية» کا کیا مطلب ہے؟,«لا تسمع فيها لاغية» ne anlama gelir?,«لا تسمع فيها لاغية» نىڭ مەنىسى نېمە؟
tpl,t1qgxfl8,معنى «زرابي مبثوثة»,Meaning of «زرابي مبثوثة»,«زرابي مبثوثة» کا مطلب,«زرابي مبثوثة» ifadesinin anlamı,«زرابي مبثوثة» نىڭ مەنىسى
tpl,txkep6x,كيف نُصبت (الجبال)؟,How were (the mountains) set up?,(پہاڑ) کیسے کھڑے کیے گئے؟,(Dağlar) nasıl dikildi?,(تاغلار) قانداق تىكلەندى؟
tpl,t1facmop,ما معنى «إيابهم»؟,What does «إيابهم» mean?,«إيابهم» کا کیا مطلب ہے؟,«إيابهم» ne anlama gelir?,«إيابهم» نىڭ مەنىسى نېمە؟
tpl,t14am9xj,كيف تطبق السورة في حياتك؟,How do you apply this surah in your life?,آپ اس سورت کو اپنی زندگی میں کیسے لاگو کریں گے؟,Bu sureyi hayatında nasıl uygularsın?,بۇ سۈرىنى ھاياتىڭىزدا قانداق قوللىنىسىز؟
tpl,t1wnb99v,كلمة بها (هاء) بآخرها,A word with (haa) at its end,آخر میں (ہ) والا لفظ,Sonunda (he) harfi bulunan bir kelime,ئاخىرىدا (ھا) ھەرپى بار سۆز
tpl,t1hnt4ep,لماذا غضب الله على أبي لهب؟,Why was Allah angry with Abu Lahab?,اللہ ابو لہب سے کیوں ناراض ہوا؟,"Allah, Ebu Leheb'e neden kızdı?",اﷲ نېمە ئۈچۈن ئەبۇ لەھەبكە غەزەپلەندى؟
tpl,tshwwla,أكمل: الـكـافـرو___,Complete: الـكـافـرو___,مکمل کریں: الـكـافـرو___,Tamamla: الـكـافـرو___,تولۇقلاڭ: الـكـافـرو___
tpl,tvhh1m0,ماذا نتعلم من هذه السورة؟,What do we learn from this surah?,ہم اس سورت سے کیا سیکھتے ہیں؟,Bu sureden ne öğreniyoruz?,بۇ سۈرىدىن نېمە ئۆگىنىمىز؟
tpl,t1grgf4t,أكمل: تـوّابـ___,Complete: تـوّابـ___,مکمل کریں: تـوّابـ___,Tamamla: تـوّابـ___,تولۇقلاڭ: تـوّابـ___
tpl,t1tk51lk,شكّل حرف (ح) في (الحمد),Add diacritics to the letter (ح) in (الحمد),(الحمد) میں حرف (ح) پر اعراب لگائیں,(الحمد) içindeki (ح) harfini harekele,(الحمد) دىكى (ح) ھەرپىگە ھەرىكە قويۇڭ
tpl,t19xyonn,اليقين : __+__+__+__+__+__,اليقين : __+__+__+__+__+__,اليقين : __+__+__+__+__+__,اليقين : __+__+__+__+__+__,اليقين : __+__+__+__+__+__
tpl,t1jh6e3u,عن ماذا نُسأل يوم القيامة؟,About what will we be asked on the Day of Judgment?,قیامت کے دن ہم سے کس چیز کے بارے میں پوچھا جائے گا؟,Kıyamet günü neden sorguya çekileceğiz?,قىيامەت كۈنى بىزدىن نېمە توغرىسىدا سوئال سورىلىدۇ؟
tpl,tw85lqf,تكرار اسم الجلالة (الله) =,How many times does the name (Allah) repeat =,اسم جلالت (اللہ) کتنی بار آیا =,(Allah) ismi kaç kez tekrarlanıyor =,جانابى ئۆز ئىسمى (اﷲ) قانچە قېتىم تەكرارلانغان =
tpl,tmol4i,أكمل: حُـنـفـاء مُـخـلِـ___,Complete: حُـنـفـاء مُـخـلِـ___,مکمل کریں: حُـنـفـاء مُـخـلِـ___,Tamamla: حُـنـفـاء مُـخـلِـ___,تولۇقلاڭ: حُـنـفـاء مُـخـلِـ___
tpl,t1hqomnu,عدد النقاط في الآية الأولى =,Number of dots in the first ayah =,پہلی آیت میں نقطوں کی تعداد =,İlk ayetteki nokta sayısı =,بىرىنچى ئايەتتىكى چېكىت سانى =
tpl,tyetxu5,حوّط كلمة (الخيل) لو وُجدت,Circle the word (الخيل) if it is found,اگر لفظ (الخیل) موجود ہو تو اس پر دائرہ لگائیں,Varsa (الخيل) kelimesini daire içine al,ئەگەر (الخيل) سۆزى بولسا، ئۇنىڭغا دائىرە سىزىڭ
tpl,tip4il9,كلمات بها (ال) =,Words with (ال) =,(ال) والے الفاظ =,(ال) içeren kelimeler =,(ال) بار سۆزلەر =
tpl,tquyqoy,مضاد (الرحمن) في المعنى:,The word opposite in meaning to (الرحمن):,معنی میں (الرحمن) کی ضد:,(الرحمن) kelimesinin anlamca zıttı:,(الرحمن) نىڭ مەنىدە زىددى:
tpl,tdvffqu,(الرحمن): اسم أم فعل؟,(الرحمن): a noun or a verb?,(الرحمن): اسم ہے یا فعل؟,(الرحمن): isim mi fiil mi?,(الرحمن): ئىسىممۇ ياكى پېئىلمۇ؟
tpl,t1d3n6ry,كلمة تنتهي بحرف (م):,A word ending with the letter (م):,حرف (م) پر ختم ہونے والا لفظ:,(م) harfiyle biten bir kelime:,(م) ھەرپى بىلەن ئاياغلاشقان سۆز:
tpl,t960q3j,الله : _ _ _ _,الله : _ _ _ _,الله : _ _ _ _,الله : _ _ _ _,الله : _ _ _ _
tpl,tqawsiq,حوّط كلمة (الحي) بالآية,Circle the word (الحي) in the ayah,آیت میں لفظ (الحی) پر دائرہ لگائیں,Ayetteki (الحي) kelimesini daire içine al,ئايەتتىكى (الحي) سۆزىگە دائىرە سىزىڭ
tpl,t1f4zsho,هذه الآية اسمها:,This ayah is called:,اس آیت کا نام ہے:,Bu ayetin adı:,بۇ ئايەتنىڭ ئىسمى:
tpl,t1ihgy55,عَذَاب : _ _ _ _,عَذَاب : _ _ _ _,عَذَاب : _ _ _ _,عَذَاب : _ _ _ _,عَذَاب : _ _ _ _
tpl,t1pt4vpu,ما الذي نطلبه في الآية؟,What do we ask for in the ayah?,اس آیت میں ہم کیا مانگتے ہیں؟,Bu ayette ne istiyoruz?,بۇ ئايەتتە بىز نېمىنى تىلەيمىز؟
tpl,t15mqld2,ارسم نارًا واكتب (أعوذ بالله):,Draw a fire and write (أعوذ بالله):,آگ بنائیں اور (أعوذ بالله) لکھیں:,Bir ateş çiz ve (أعوذ بالله) yaz:,بىر ئوت سىزىڭ ۋە (أعوذ بالله) دەپ يېزىڭ:
tpl,tb0p5yn,فصّل: يُكَلِّف =,Break apart: يُكَلِّف =,الگ کریں: يُكَلِّف =,Ayır: يُكَلِّف =,ئايرىڭ: يُكَلِّف =
tpl,t61zqce,(لا) هنا للنفي أم للنهي؟,Is (لا) here for negation or prohibition?,یہاں (لا) نفی کے لیے ہے یا نہی کے لیے؟,Buradaki (لا) olumsuzluk için mi yasaklama için mi?,بۇ يەردىكى (لا) ئىنكار ئۈچۈنمۇ ياكى چەكلەش ئۈچۈنمۇ؟
tpl,t1qp5uuq,رتب الكلمات كما في الآية,Arrange the words as in the ayah,الفاظ کو آیت کے مطابق ترتیب دیں,Kelimeleri ayetteki gibi sırala,سۆزلەرنى ئايەتتىكىدەك تەرتىپلەڭ
tpl,tykm9qm,العُسْر : __ + ___,العُسْر : __ + ___,العُسْر : __ + ___,العُسْر : __ + ___,العُسْر : __ + ___
tpl,t1bhqydy,آخر كلمة في الآية 6:,Last word in ayah 6:,آیت 6 کا آخری لفظ:,6. ayetteki son kelime:,6-ئايەتتىكى ئاخىرقى سۆز:
tpl,tsxyfdu,(فإن): الفاء للـ:,(فإن): the (ف) is for:,(فإن): یہاں (ف) کس لیے ہے:,(فإن): buradaki (ف) neyi ifade eder:,(فإن): بۇ يەردىكى (ف) نېمىنى بىلدۈرىدۇ:
